GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
RMND1	Combined oxidative phosphorylation deficiency 11	AR	N/A		
RMRP	Anauxetic dysplasia; Cartilage-hair hypoplasia; Metaphyseal dysplasia without hypotrichosis	AR			
RNASEH2A	Aicardi-Goutieres syndrome 4	AR	N/A		
RNASEH2B	Aicardi-Goutieres syndrome 2	AR	N/A		
RNASEH2C	Aicardi-Goutieres syndrome 3	AR	N/A		
RNASEL	"Prostate cancer, hereditary, 1"	AD			
RNASET2	"Leukoencephalopathy, cystic, without megalencephaly"	AR	N/A		
RNF135	"Macrocephaly, macrosomia, facial dysmorphism syndrome"	AD	N/A		
RNF139	"Renal cell carcinoma, clear cell"	AD			
RNF168	RIDDLE syndrome	AR			
RNF213	Moyamoya disease 2	AD/AR			
RNF216	Cerebellar ataxia and hypogonadotropic hypogonadism	AR			
RNU4ATAC	"Microcephalic osteodysplastic primordial dwarfism, type I (Taybi-Linder syndrome)"	AR	N/A		
ROBO2	Vesicoureteral reflux 2	AD			
ROBO3	"Gaze palsy, horizontal, with progressive scoliosis"	AR	N/A		
ROGDI	Kohlschutter-Tonz syndrome	AR	N/A		
ROR2	"Robinow syndrome, autosomal recessive; Brachydactyly, type B1"	AD/AR	N/A		
RP1	"Retinitis pigmentosa 1, autosomal dominant; Retinitis pigmentosa 1, autosomal recessive"	AD/AR	N/A		
RP1L1	"Occult macular dystrophy; Retinitis pigmentosa, autosomal recessive"	AD/AR	N/A		
RP2	Retinitis pigmentosa 2	XL	N/A		
RP9	Retinitis pigmentosa 9	AD	N/A		
RPE65	Retinitis pigmentosa 20; Leber congenital amaurosis 2	AR	N/A		
RPGR	"Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness"	XL	"Allelic with Cone-rod dystrophy, X-linked, 1 (XL); Macular degeneration, X-linked atrophic (XL); Retinitis pigmentosa 3 (XL)"		
RPGRIP1	Leber congenital amaurosis 6; Cone-rod dystrophy 13	AR	N/A		
RPGRIP1L	"Meckel syndrome, type 5; Joubert syndrome 7; COACH syndrome; Retinal degeneration in ciliopathy, modifier of"	AD/AR	N/A		
RPIA	Ribose 5-phosphate isomerase deficiency	AR	N/A		
RPL11	Diamond-Blackfan anemia 7	AD			
RPL26	Diamond-Blackfan anemia 11	AD			
RPL35A	Diamond-Blackfan anemia 5	AD			
RPL5	Diamond-Blackfan anemia 6	AD			
RPS10	Diamond-Blackfan anemia 9	AD			
RPS17	Diamond-Blackfan anemia 4	AD			
RPS19	Diamond-Blackfan anemia 1	AD			
RPS24	Diamond-Blackfan anemia 3	AD			
RPS26	Diamond-Blackfan anemia 10	AD			
RPS6KA3	"Coffin-Lowry syndrome; Mental retardation, X-linked 19"	XL			
RPS7	Diamond-Blackfan anemia 8	AD			
RRM2B	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5; Mitochondrial DNA depletion syndrome 8A; Mitochondrial DNA depletion syndrome 8B"	AD/AR	N/A		
RS1	"Retinoschisis 1, X-linked, juvenile"	XL	N/A		
RSPH4A	"Ciliary dyskinesia, primary, 11"	AR			
RSPH9	"Ciliary dyskinesia, primary, 12"	AR			
RSPO1	"Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and 46,XX sex reversal"	AR			
RSPO4	Anonychia/hyponychia congenita	AR	N/A		
RTEL1	"Dyskeratosis congenita, severe; Dyskeratosis congenita, autosomal recessive, 5"	AD/AR			
RTN2	"Spastic paraplegia 12, autosomal dominant"	AD	N/A		
RTTN	Polymicrogyria with seizures	AR	N/A		
RUNX1	"Platelet disorder, familial, with associated myeloid malignancy"	AD			
RUNX2	Cleidocranial dysplasia; Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly	AD	N/A		
RXFP2	Cryptorchidism	AD	N/A		
RYR1	"Malignant hyperthermia, susceptibility 1; Central core disease; Minicore myopathy; Multicore myopathy; Minicore myopathy with external ophthalmoplegia; Centronuclear myopathy (individuals with these conditions may also be at risk of malignant hyperthermia)"	AD/AR			
RYR2	"Ventricular tachycardia, catecholaminergic polymorphic, 1; Arrhythmogenic right ventricular dysplasia 2  "	AD			
SACS	"Spastic ataxia, Charlevoix-Saguenay type"	AR	N/A		
SAG	Retinitis pigmentosa 47; Oguchi disease 1	AR	N/A		
SALL1	Townes-Brocks syndrome	AD			
SALL4	Duane-radial ray/Okohiro syndrome; Acro-Renal-Ocular syndrome	AD	N/A		
SAMD9	"Tumoral calcinosis, normophosphatemic"	AR			
SAMHD1	Chilblain lupus 2; Aicardi-Goutieres syndrome 5	AD/AR	N/A		
SAR1B	Chylomicron disease (Anderson disease)	AR			
SARS2	"Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis"	AR	N/A		
SART3	"Porokeratosis, disseminated superficial actinic, 1"	AD	N/A		
SATB2	"Cleft palate, osteoporosis, and neurocognitive deficits"	AD	N/A		
SBDS	Shwachman-Diamond syndrome; Aplastic anemia	AD/AR			
SBF2	"Charcot-Marie-Tooth disease, type 4B2 with early-onset glaucoma"	AR			
SC5D	Lathosterolosis	AR	N/A		
SCARB2	"Epilepsy, progressive myoclonic 4, with or without renal failure"	AR	N/A		
SCARF2	Van den Ende-Gupta syndrome	AR	N/A		
SCN1A	"Migraine, familial hemiplegic 3"	AD	"Allelic with Dravet syndrome (AD); Generalized epilepsy with febrile seizures plus, type 2 (AD), Febrile seizures, familial 3A (AD)"		
SCN1B	Brugada syndrome 5	AD	"Allelic with Generalized epilepsy with febrile seizures plus, type 1 (AD)"		
SCN2A	"Epileptic encephalopathy, early infantile, 11; Seizures, benign familial infantile, 3"	AD	N/A		
SCN3B	Brugada syndrome 7	AD			
SCN4A	"Paramyotonia congenita; Hyperkalemic periodic paralysis, type 2; Hypokalemic periodic paralysis, type 2; Normokalemic potassium-sensitive periodic paralysis; Malignant hyperthermia, susceptibility to; Myasthenic syndrome, congenital, acetazalomide-responsive (AR); Myotonia, potassium-aggravated"	AD/AR			
SCN4B	Long QT syndrome 10	AD			
SCN5A	"Atrial fibrillation, familial 10; Long QT syndrome 3; Idiopathic ventricular fibrillation; Heart block, progressive, type IA; Heart block, nonprogressive; Sick sinus syndrome 1, autosomal recessive; Cardiomyopathy, dilated, 1E; Brugada syndrome 1"	AD/AR/Digenic			
SCN8A	"Cognitive impairment with or without cerebellar ataxia; Epileptic encephalopathy, early infantile, 13"	AD	N/A		
SCN9A	Paroxysmal extreme pain disorder	AD/AR	"Allelic with Small fiber neuropathy (AD);  Erythermalgia, primary (AD); Insensitivity to pain, channelopathy-associated (AR)"		
SCNN1A	"Pseudohypoaldosteronism, type I; Bronchiectasis with or without elevated sweat chloride 2"	AR/Digenic (with CFTR or other SCCN1 genes)			
SCNN1B	"Pseudohypoaldosteronism, type I; Liddle syndrome; Bronchiectasis with or without elevated sweat chloride 3"	AR/Digenic (with CFTR or other SCCN1 genes)			
SCNN1G	"Pseudohypoaldosteronism, type I; Liddle syndrome; Bronchiectasis with or without elevated sweat chloride 3"	AR/Digenic (with CFTR or other SCCN1 genes)			
SCO1	Mitochondrial complex IV deficiency	AR	N/A		
SCO2	"Myopia 6; Leigh syndrome; Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency; Hypertrophic cardiomyopathy"	AD/AR	N/A		
SCP2	Leukoencephalopathy with dystonia and motor neuropathy	AR	N/A		
SDCCAG8	Senior-Loken syndrome 7	AR	N/A		
SDHA	"Paragangliomas 5; Gastrointestinal stromal tumors; Cardiomyopathy, dilated, 1GG; Leigh syndrome/Mitochondrial respiratory chain complex II deficiency "	AD	"Allelic with Cardiomyopathy, dilated, 1GG (AR); Leigh syndrome/Mitochondrial respiratory chain complex II deficiency (AR)"		
SDHAF1	Mitochondrial complex II deficiency	AR	N/A		
SDHAF2	Paragangliomas 2	AD			
SDHB	Cowden-like syndrome; Paraganglioma and gastric stromal sarcoma; Gastrointestinal stromal tumor; Pheochromocytoma; Paragangliomas 4	AD			
SDHC	Paraganglioma and gastric stromal sarcoma; Gastrointestinal stromal tumor; Paragangliomas 3	AD			
SDHD	"Cowden syndrome 3; Paraganglioma and gastric stromal sarcoma; Pheochromocytoma; Paragangliomas; Carcinoid tumors, intestinal"	AD			
SEC23A	Craniolenticulosutural dysplasia	AR	N/A		
SEC23B	"Anemia, dyserythropoietic congenital, type II"	AR			
SEC63	Polycystic liver disease	AD	N/A		
SECISBP2	Selenoprotein deficiency	AR	N/A		
SEMA3A	Hypogonadotropic hypogonadism 16 with or without anosmia	AD			
SEMA3E	CHARGE syndrome	AD	N/A		
SEMA4A	Cone-rod dystrophy 10; Retinitis pigmentosa 35	AR	N/A		
SEMA7A	"Blood group, John Milton Hagen"	AD	 		
SEPN1	"Muscular dystrophy, rigid spine, 1; Myopathy, congenital, with fiber-type disproportion"	AR	N/A		
SEPSECS	"Pontocerebellar hypoplasia, type 2D"	AR	N/A		
SEPT12	Spermatogenic failure 10	AD	N/A		
SEPT9	"Amyotrophy, hereditary neuralgic"	AD	N/A		
SERAC1	"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome "	AR	N/A		
SERPINA1	Alpha-1-Antitrypsin deficiency	AR			
SERPINA6	Corticosteroid-binding globulin deficiency	AD/AR	N/A		
SERPINA7	Thyroxine-binding globulin deficiency; Thyroxine-binding globulin excess	XL	N/A		
SERPINB6	"Deafness, autosomal recessive 91"	AR	N/A		
SERPINC1	Antithrombin III deficiency	AD/AR			
SERPIND1	Heparin cofactor II deficiency	AD	N/A		
SERPINE1	Plasminogen activator inhibitor-1 deficiency	AR			
SERPINF1	"Osteogenesis imperfecta, type VI"	AR	N/A		
SERPINF2	Alpha-2-plasmin inhibitor deficiency	AD/AR			
SERPING1	"Angioedema, hereditary"	AD/AR	"Allelic with Complement component 4, partial deficiency of (AD)"		
SERPINH1	"Osteogenesis imperfecta, type X"	AR	N/A		
SERPINI1	"Encephalopathy, familial, with neuroserpin inclusion bodies"	AD	N/A		
SETBP1	Schinzel-Giedion midface retraction syndrome	AD	N/A		
SETX	"Spinocerebellar ataxia, autosomal recessive 1; Amyotrophic lateral sclerosis 4, juvenile; Ataxia with oculomotor apraxia, type 2 "	AD/AR	N/A		
SF3B4	"Acrofacial dysostosis 1, Nager type"	AD	N/A		
SFTPA2	Idiopathic pulmonary fibrosis and lung cancer	AD			
SFTPB	"Surfactant metabolism dysfunction, pulmonary 1"	AR			
SFTPC	"Surfactant metabolism dysfunction, pulmonary, 2"	AD			
SGCA	"Muscular dystrophy, limb-girdle, type 2D"	AR			
SGCB	"Muscular dystrophy, limb-girdle, type 2E"	AR			
SGCD	"Cardiomyopathy, dilated, 1L; Muscular dystrophy, limb-girdle, type 2F"	AR			
SGCE	"Dystonia, myoclonic"	AD	N/A		
SGCG	"Muscular dystrophy, limb-girdle, type 2C"	AR	N/A		
SGK196	"Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A12; Muscle-eye brain disease; Walker-Warburg syndrome"	AR	N/A		
SGSH	Mucopolysaccharidosis type IIIB (Sanfilippo syndrome A)	AR	N/A		
SH2D1A	"Lymphoproliferative syndrome, X-linked"	XL			
SH3BP2	Cherubism	AD	N/A		
SH3PXD2B	Frank-ter Haar syndrome	AR			
SH3TC2	"Charcot-Marie-Tooth disease, type 4C; Mononeuropathy of the median nerve, mild"	AR	N/A		
SHANK3	Schizophrenia 	AD	N/A		
SHH	Holoprosencephaly 3; Microphthalmia with coloboma 5 	AD	N/A		
SHOC2	Noonan-like syndrome with loose anagen hair	AD			
SHOX	"Langer mesomelic dysplasia; Leri-Weill dyschondrosteosis; Short stature, idiopathic familial"	XL/PAR	N/A		
SHROOM4	Stocco dos Santos X-linked mental retardation syndrome	XL	N/A		
SI	"Sucrase-isomaltase deficiency, congenital"	AR			
SIGMAR1	"Amyotrophic lateral sclerosis 16, juvenile; Frontotemporal lobar degeneration-motor neuron disease"	AR	N/A		
SIL1	Marinesco-Sjogren syndrome	AR	N/A		
SIX1	"Deafness, autosomal dominant 23; Branchiootorenal syndrome 3; Branchiootic syndrome 3"	AD			
SIX3	Holoprosencephaly	AD	N/A		
SIX5	Branchiootorenal syndrome 2	AD			
SIX6	"Microphthalmia, isolated, with cataract 2"	AD	N/A		
SKI	Shprintzen-Goldberg syndrome	AD			
SKIV2L	Trichohepatoenteric syndrome 2	AR			
SLC10A2	"Bile acid malabsorption, primary"	AD			
SLC11A2	"Anemia, hypochromic microcytic, with iron overload"	AR			
SLC12A1	"Bartter syndrome, antenatal, type 1"	AR			
SLC12A3	Gitelman syndrome	AR			
SLC12A6	Agenesis of the corpus callosum with peripheral neuropathy; Andermann syndrome	AR	N/A		
SLC14A1	"Blood group, Kidd"	BG	 		
SLC16A1	"Hyperinsulinemic hypoglycemia, familial, 7; Erythrocyte lactate transporter defect"	AD			
SLC16A12	"Cataract, juvenile, with microcornea and glucosuria"	AD	N/A		
SLC16A2	Allan-Herndon-Dudley syndrome	XL			
SLC17A5	"Infantile sialic acid storage disorder; Sialuria, Finnish type (Salla disease)"	AR	N/A		
SLC17A8	"Deafness, autosomal dominant 25"	AD	N/A		
SLC19A2	Thiamine-responsive megaloblastic anemia syndrome	AR			
SLC19A3	Thiamine metabolism dysfunction syndrome 2 (biotin or thiamine responsive)	AR			
SLC1A1	Schizophrenia	AD	N/A		
SLC1A3	"Episodic ataxia, type 6"	AD			
SLC20A2	"Basal ganglia calcification, idiopathic, 3"	AD	N/A		
SLC22A12	"Hypouricemia, renal 1"	AR			
SLC22A5	"Carnitine deficiency, systemic primary"	AR			
SLC24A1	"Night blindness, congenital stationary, type 1D"	AR	N/A		
SLC24A4	"Ameliogenesis imperfecta, autosomal recessive"	AR	N/A		
SLC25A1	Combined D-2- and L-2-hydroxyglutaric aciduria	AR	N/A		
SLC25A12	"Hypomyelination, global cerebral"	AR	N/A		
SLC25A13	"Citrullinemia, type II, neonatal-onset; Citrullinemia, type II, adult-onset"	AR			
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome	AR			
SLC25A19	"Thiamine metabolism dysfunction syndrome 4; Microcephaly, Amish type"	AR	N/A		
SLC25A20	Carnitine-acylcarnitine translocase deficiency	AR			
SLC25A22	"Epileptic encephalopathy, early infantile, 3"	AR	N/A		
SLC25A3	Micochondrial phosphate carrier deficiency	AR	N/A		
SLC25A38	"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive"	AR			
SLC25A4	"Progressive external ophthalmoplegia with mitochondrial DNA deletions 3; Cardiomyopathy, familial hypertrophic"	AD/AR			
SLC26A2	"Achondrogenesis, type IB; Atelosteogenesis II; De la Chapelle dysplasia; Diastrophic dysplasia; Epiphyseal dysplasia, multiple, 4"	AR	N/A		
SLC26A3	"Diarrhea 1, secretory chloride, congenital"	AR			
SLC26A4	"Pendred syndrome; Deafness, autosomal recessive 4; Enlarged vestibular aqueduct, digenic "	AR			
SLC26A5	"Deafness, autosomal recessive 61"	AR			
SLC26A8	Spermatogenic failure 3	AD	N/A		
SLC27A4	Ichthyosis prematurity syndrome	AR	N/A		
SLC29A3	Histiocytosis-lymphadenopathy plus syndrome 	AR	Allelic with Dysosteosclerosis (AR)		
SLC2A1	GLUT1 deficiency syndrome 1; GLUT1 deficiency syndrome 2	AD/AR			
SLC2A10	Arterial tortuosity syndrome	AR			
SLC2A2	Fanconi-Bickel syndrome; Glycogen storage disease XI; Neonatal diabetes mellitus	AR			
SLC2A9	"Hypouricemia, renal, 2"	AD/AR			
SLC33A1	"Congenital cataracts, hearing loss, and neurodegeneration"	AR	"Allelic with Spastic paraplegia 42, autosomal dominant (AD)"		
SLC34A1	"Fanconi renotubular syndrome 2; Nephrolithiasis/osteoporosis, hypophosphatemic, 1 "	AR			
SLC34A2	Pulmonary alveolar microlithiasis	AR			
SLC34A3	"Hypophosphatemic rickets with hypercalciuria, hereditary"	AR			
SLC35A1	"Congenital disorder of glycosylation, type IIf"	AR			
SLC35A2	"Congenital disorder of glycosylation, X-linked"	XL			
SLC35C1	"Congenital disorder of glycosylation, type IIc; Leukocyte adhesion deficiency, type II"	AR			
SLC35D1	Schneckenbecken dysplasia	AR	N/A		
SLC36A2	"Hyperglycinuria; Iminoglycinuria; Iminoglycinuria, digenic"	AD/AR/Digenic	N/A		
SLC37A4	Glycogen storage disease Ib; Glycogen storage disease Ic; Glycogen storage disease Id	AR			
SLC39A13	"Spondylocheirodysplasia, Ehlers-Danlos syndrome-like"	AR	N/A		
SLC39A4	Acrodermatitis enteropathica	AR			
SLC3A1	Cystinuria	AR			
SLC40A1	"Hemochromatosis, type 4"	AD			
SLC41A1	Nephronophthisis-like ciliopathy	AR			
SLC45A2	"Oculocutaneous albinism, type IV; Skin/hair/eye pigmentation 5"	AD/AR	N/A		
SLC46A1	"Folate malabsorption, hereditary"	AR			
SLC4A1	"Spherocytosis, type 4; Ovalcytosis; Renal tubular acidosis, distal, with hemolytic anemia; Renal tubular acidosis, distal, autosomal dominant; Renal tubular acidosis, distal, autosomal recessive"	AD/AR/BG	"Allelic with Acanthocytosis, Band 3 Memphis (AR); Variants may result in Blood group, Wright (BG); Blood group, Waldner (BG); Blood group, Diego (BG); Blood group, Froese (BG); Blood group, Swann (BG)"		
SLC4A11	"Corneal dystrophy, Fuchs endothelial 4; Corneal endothelial dystrophy 2, autosomal recessive; Corneal endothelial dystrophy and perceptive deafness "	AD/AR	N/A		
SLC4A4	"Renal tubular acidosis, proximal, with ocular abnormalities and/or migraine"	AD/AR			
SLC52A1	Maternal riboflavin deficiency	AD			
SLC52A2	Brown-Vialetto-Van Laere syndrome 2	AR			
SLC52A3	Brown-Vialetto-Van Laere syndrome 1; Fazio-Londe disease	AR			
SLC5A1	Glucose/galactose malabsorption	AR			
SLC5A2	Renal glucosuria	AD/AR	N/A		
SLC5A5	Thyroid dyshormonogenesis 1	AR			
SLC6A19	Hartnup disease	AR	"Variants may be involved in Iminoglycinuria, digenic (digenic)"		
SLC6A2	Orthostatic intolerance	AD	N/A		
SLC6A20	"Iminoglycinuria, digenic; Hyperglycinuria/Iminoglycinuria, modifier of"	AD/Digenic	N/A		
SLC6A3	"Parkinsonism-dystonia, infantile"	AR	N/A		
SLC6A5	Hyperekplexia 3	AR			
SLC6A8	"Creatine deficiency syndrome, X-linked"	XL			
SLC7A7	Lysinuric protein intolerance	AR			
SLC7A9	Cystinuria	AR			
SLC9A3R1	"Nephrolithiasis/osteoporosis, hypophosphatemic, 2"	AD			
SLC9A6	"Mental retardation, X-linked syndromic, Christianson type"	XL	N/A		
SLCO1B1	"Statin-induced myopathy; Hyperbilirubinemia, Rotor type, digenic"	AD/Digenic	N/A		
SLCO1B3	"Hyperbilirubinemia, Rotor type, digenic"	Digenic	N/A		
SLCO2A1	"Hypertrophic osteoarthropathy, primary, autosomal recessive 2; Primary hypertrophic osteoarthropathy"	AD/AR	N/A		
SLITRK1	Trichotillomania; Tourette syndrome	AD	N/A		
SLURP1	Mal de Meleda	AD/AR	N/A		
SLX4	Fanconi anemia type P	AR			
SMAD3	"Aneurysms-osteoarthritis syndrome; Loeys-Dietz syndrome, type 1C"	AD			
SMAD4	"Hereditary hemorrhagic telangiectasia, type 1; Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome; Polyposis, juvenile intestinal; Myhre syndrome"	AD			
SMAD6	Aortic valve disease 2	AD			
SMAD9	"Pulmonary hypertension, primary"	AD			
SMARCA2	Nicolaides-Baraitser syndrome	AD	N/A		
SMARCA4	Rhabdoid tumor predisposition syndrome 2	AD	"Allelic with Mental retardation, autosomal dominant 16 (AD); Coffin-Siris syndrome (AD)"		
SMARCAD1	Adermatoglyphia	AD	N/A		
SMARCAL1	Schimke immunoosseous dysplasia	AR			
SMARCB1	Schwannomatosis; Rhabdoid tumor predisposition syndrome	AD	"Allelic with Mental retardation, autosomal dominant 15 (AD); Coffin-Siris syndrome (AD)"		
SMC1A	Cornelia de Lange syndrome 2	XL	N/A		
SMC3	Cornelia de Lange syndrome 3	AD	N/A		
SMCHD1	"Facioscapulohumeral muscular dystrophy, type 2"	Digenic (involving a SMCHD1 mutation and permissive D4Z4 haplotype)	N/A		
SMIM1	"Blood group, Vel system"	BG			
SMN1	"Spinal muscular atrophy, type I; Spinal muscular atrophy, type II; Spinal muscular atrophy, type III; Spinal muscular atrophy, type IV"	AR	N/A		
SMN2	"Spinal muscular atrophy, modifier of"	AD	N/A		
SMOC1	Microphthalmia with limb anomalies	AR	N/A		
SMOC2	"Dentin dysplasia, type I"	AR	N/A		
SMPD1	"Niemann-Pick disease, type A; Niemann-Pick disease, type B"	AR	N/A		
SMPX	"Deafness, X-linked 4"	XL	N/A		
SMS	"Mental retardation, X-linked, Snyder-Robinson type"	XL	N/A		
SNAI2	"Waardenburg syndrome, type 2D"	AR	Allelic with Piebaldism (AD)		
SNAP29	"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome (CEDNIK syndrome)"	AR	N/A		
SNCA	Parkinson disease; Dementia with Lewy bodies	AD	N/A		
SNCAIP	Parkinson disease	AD	N/A		
SNCB	Dementia with Lewy bodies	AD	N/A		
SNIP1	"Psychomotor retardation, epilepsy, and craniofacial dysmorphism"	AR	N/A		
SNRNP200	Retinitis pigmentosa 33	AD	N/A		
SNRPE	Hypotrichosis 11	AD	N/A		
SNTA1	Long QT syndrome 12	AD			
SNX10	"Osteopetrosis, autosomal recessive 8"	AR			
SOBP	"Mental retardation, anterior maxillary protrusion, and strabismus"	AR	N/A		
SOD1	Amyotrophic lateral sclerosis; Keratoconus	AD/AR	N/A		
SOS1	Noonan syndrome	AD	"Allelic with Fibromatosis, gingival (AD)"		
SOST	"Craniodiaphyseal dysplasia, autosomal dominant; Sclerosteosis 1; van Buchem disease "	AD/AR			
SOX10	"Waardenburg syndrome, type 4C; Waardenburg syndrome, type 2E; Peripheral demyelinating neuropathy, central dysmyelination, Waardenburg syndrome, and Hirschsprung disease"	AD			
SOX17	Vesicoureteral reflux 3	AD			
SOX18	Hypotrichosis-lymphedema-telangiectasia syndrome	AD/AR	N/A		
SOX2	"Microphthalmia, syndromic 3"	AD			
SOX3	"Panhypopituitarism, X-linked"	XL	"Allelic with Mental retardation, X-linked, with isolated growth hormone deficiency (XL), which may be recognizable, and early recognition may not necessarily be additionally helpful"		
SOX9	Campomelic dysplasia	XL	"Allelic with 46,XX sex reversal 2 (AD), which has been reported as resulting from SOX9 promoter anomalies or cytogenetic aberrations"		
SP110	Hepatic venoocclusive disease with immunodeficiency	AR			
SP7	"Osteogenesis imperfecta, type XII"	AR	N/A		
SPARC	Keratoconus	AD	N/A		
SPAST	"Spastic paraplegia 4, autosomal dominant"	AD	N/A		
SPATA16	Spermatogenic failure 6	AR	N/A		
SPATA5	Schizophrenia	AD	N/A		
SPATA7	"Leber congenital amaurosis 3; Retitinitis pigmentosa, juvenile, SPATA7-related"	AR	N/A		
SPECC1L	"Facial clefting, oblique, 1"	AD	N/A		
SPG11	Spastic paraplegia 11	AR	N/A		
SPG20	Spastic paraplegia 20 (Troyer syndrome)	AR	N/A		
SPG21	Spastic paraplegia 21 (Mast syndrome)	AR	N/A		
SPG7	"Spastic paraplegia 7, autosomal recessive"	AR	N/A		
SPINK1	"Pancreatitis, hereditary"	AD			
SPINK5	Netherton syndrome	AR			
SPINT2	"Diarrhea 3, secretory sodium, congenital; Diarrhea 3, secretory sodium, congenital, syndromic "	AD			
SPR	"Dystonia, Dopa-responsive, due to sepiapterin reductase deficiency"	AR			
SPRED1	Legius syndrome	AD	N/A		
SPRY4	"Hypogonadotropic hypogonadism 17, with or without anosmia"	AD/Digenic			
SPTA1	"Spherocytosis, type 3; Pyropoikilocytosis , hereditary; Ellipsocytosis 2"	AD/AR			
SPTAN1	"Epileptic encephalopathy, early infantile, 5"	AD	N/A		
SPTB	"Spherocytosis, type 2, Ellipsocytosis, type 3; Anemia, neonatal hemolytic"	AD/AR			
SPTBN2	Spinocerebellar ataxia 5	AD	N/A		
SPTLC1	"Neuropathy, hereditary sensory and autonomic, type IA; Neuropathy, hereditary sensory and autonomic, type IC"	AD	N/A		
SQSTM1	Paget disease of bone	AD/AR			
SRCAP	Floating-Harbor syndrome	AD	N/A		
SRD5A2	Steroid 5-alpha-reductase 2 deficiency	AR			
SRD5A3	"Kahrizi syndrome; Congenital disorder of glycosylation, type Iq"	AR	 		
SRP72	"Bone marrow failure, familial"	AD			
SRPX2	"Rolandic epilepsy, mental retardation, and speech dyspraxia"	XL	N/A		
SRY	"46,XY disorder of sex development; 46, XX disorder of sex development"	YL			
SSTR5	Resistance to somatostatin treatment	AD	 		
ST14	Ichthyosis with hypotrichosis	AR	N/A		
ST3GAL3	"Mental retardation, autosomal recessive 12; Epileptic encephalopathy, early infantile, 15"	AR	N/A		
ST3GAL5	Ganglioside GM3 synthase deficiency	AR	N/A		
STAMBP	Microcephaly-capillary malformation syndrome	AR			
STAR	Lipoid adrenal hyperplasia	AR			
STAT1	"Familial Candiasis, 7; STAT1 deficiency; Mycobacterial infection, atypical, familial disseminated "	AD/AR			
STAT3	Hyper-IgE recurrent infection syndrome	AD			
STAT5B	Growth hormone insensitivity with immunodeficiency	AR			
STEAP3	Hypochromic microcytic anemia with iron overload 2	AD			
STIL	"Microcephaly, primary autosomal recessive, 7"	AR	N/A		
STIM1	Immune dysfunction with T-cell inactivation due to calcium entry 2defect	AR			
STK11	Peutz-Jeghers syndrome	AD			
STK4	"T-cell immunodeficiency syndrome with recurrent infections, autoimmunity, with and without cardiac malformations"	AR			
STRA6	"Microphthalmia, syndromic 9; Microphthalmia/anophthalmia"	AR	N/A		
STRADA	"Polyhydramnios, megalencephaly, and symptomatic epilepsy"	AR	N/A		
STRC	"Deafness, autosomal recessive 16"	AR			
STS	Steroid sulfatase deficiency	XL			
STX11	"Hemophagocytic lymphohistiocytosis, familial, 4"	AR			
STX16	"Pseudohypoparathyroidism, type IB"	AD			
STXBP1	"Epileptic encephalopathy, early infantile, 4"	AD	N/A		
STXBP2	"Hemophagocytic lymphohistiocytosis, familial 5"	AR			
SUCLA2	Mitochondrial DNA depletion syndrome 5	AR			
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	AR	N/A		
SUFU	Medulloblastoma; Basal cell nevus syndrome	AD			
SUMF1	Multiple sulfatase deficiency	AR	N/A		
SUMO1	Orofacial cleft 10	AD	N/A		
SUOX	Sulfocysteinuria	AR			
SURF1	Leigh syndrome	AR	N/A		
SYCP3	Spermatogenic failure 4	AD	N/A		
SYN1	"Epilepsy, X-linked, with variable learning disabilities and behavior disorders"	XL	N/A		
SYNE1	"Emery-Dreifuss muscular dystrophy 4, autosomal dominant; Spinocerebellar ataxia, autosomal recessive 8"	AD/AR			
SYNE2	"Emery-Dreifuss muscular dystrophy 5, autosomal dominant"	AD			
SYNGAP1	"Mental retardation, autosomal dominant 5"	AD	N/A		
SYP	"Mental retardation, X-linked 96"	XL	N/A		
SYT14	"Spinocerebellar ataxia, autosomal recessive 11"	AR	N/A		
T	Chordoma	AD			
TAB2	Congenital heart anomalies	AD			
TAC3	Hypogonadotropic hypogonadism	AR			
TACO1	Mitochondrial complex IV deficiency	AR	N/A		
TACR3	Hypogonadotropic hypogonadism	AR			
TACSTD2	"Corneal dystrophy, gelatinous drop-like"	AR	N/A		
TAF1	"Dystonia 3, torsion, X-linked"	XL	N/A		
TALDO1	Transaldolase deficiency	AR	N/A		
TAP1	"Bare lymphocyte syndrome, type I"	AR			
TAP2	"Bare lymphocyte syndrome, type I, due to TAP2 deficiency"	AR			
TAPBP	"Bare lymphocyte syndrome, type I"	AR			
TARDBP	"Amyotrophic lateral sclerosis 10, with or without frontotemporal dementia"	AD	N/A		
